Data,Position,Conference,Conference Type,Receiving Team,Player,From School,Departing Conference
K Tyler Keltner (from East Tennessee State),K ,ACC,Power 5,Florida State,Tyler Keltner,St. Francis Pa.,#N/A
QB Haynes King (from Texas A&M),QB,ACC,Power 5,Georgia Tech,Haynes King,Old Dominion,Sun Belt
RB Trevion Cooley (from Louisville),RB,ACC,Power 5,Georgia Tech,Trevion Cooley,Grambling,#N/A
WR Dominick Blaylock (from Georgia),WR,ACC,Power 5,Georgia Tech,Dominick Blaylock,West Virginia,Big 12
WR Chase Lane (from Texas A&M),WR,ACC,Power 5,Georgia Tech,Chase Lane,North Carolina,ACC
WR Christian Leary (from Alabama),WR,ACC,Power 5,Georgia Tech,Christian Leary,West Virginia,Big 12
WR Abdul Janneh (from Duquesne),WR,ACC,Power 5,Georgia Tech,Abdul Janneh,Utah Tech,#N/A
WR Justin Brown (from Mississippi State),WR,ACC,Power 5,Georgia Tech,Justin Brown,NC State,ACC
TE Jackson Long (from USF),TE,ACC,Power 5,Georgia Tech,Jackson Long,Angelo State,#N/A
TE Brett Seither (from Georgia),TE,ACC,Power 5,Georgia Tech,Brett Seither,Clemson,ACC
OL Jordan Brown (from Charlotte),OL,ACC,Power 5,Georgia Tech,Jordan Brown,West Virginia,Big 12
OL Connor Scaglione (from Princeton),OL,ACC,Power 5,Georgia Tech,Connor Scaglione,Army,#N/A
DL Etinosa Reuben (from Clemson),DL,ACC,Power 5,Georgia Tech,Etinosa Reuben,Saginaw Valley State,#N/A
DL Eddie Kelly (from USF),DL,ACC,Power 5,Georgia Tech,Eddie Kelly,"Miami, Ohio",#N/A
LB Braelen Oliver (from Minnesota),LB,ACC,Power 5,Georgia Tech,Braelen Oliver,West Virginia,Big 12
LB Andre White (from Texas A&M),LB,ACC,Power 5,Georgia Tech,Andre White,Duke,ACC
LB Paul Moala (from Idaho),LB,ACC,Power 5,Georgia Tech,Paul Moala,Frostburg State,#N/A
LB Austin Dean (from Rutgers),LB,ACC,Power 5,Georgia Tech,Austin Dean,St. Francis Pa.,#N/A
DB Omar Daniels (from Kansas State),DB,ACC,Power 5,Georgia Tech,Omar Daniels,Angelo State,#N/A
QB Jack Plummer (from California),QB,ACC,Power 5,Louisville,Jack Plummer,North Carolina,ACC
QB Brady Allen (from Purdue),QB,ACC,Power 5,Louisville,Brady Allen,North Carolina,ACC
QB Harrison Bailey (from UNLV),QB,ACC,Power 5,Louisville,Harrison Bailey,"Miami, Ohio",#N/A
RB Isaac Guerendo (from Wisconsin),RB,ACC,Power 5,Louisville,Isaac Guerendo,Georgia Tech,ACC
WR Jimmy Calloway (from Tennessee),WR,ACC,Power 5,Louisville,Jimmy Calloway,Bethune-Cookman,#N/A
WR Jamari Thrash (from Georgia State),WR,ACC,Power 5,Louisville,Jamari Thrash,Duke,ACC
WR Kevin Coleman (from Jackson State),WR,ACC,Power 5,Louisville,Kevin Coleman,Old Dominion,Sun Belt
WR Jadon Thompson (from Cincinnati),WR,ACC,Power 5,Louisville,Jadon Thompson,Army,#N/A
WR Allan Houston III (from Brown),WR,ACC,Power 5,Louisville,Allan Houston III,Bowling Green,MAC
TE Joey Gatewood (from UCF),TE,ACC,Power 5,Louisville,Joey Gatewood,Indiana Wesleyan,#N/A
OL John Paul Flores (from Virginia),OL,ACC,Power 5,Louisville,John Paul Flores,California University of Pennsylvania,#N/A
OL Eric Miller (from Purdue),OL,ACC,Power 5,Louisville,Eric Miller,Air Force,#N/A
OL Lance Robinson (from Houston),OL,ACC,Power 5,Louisville,Lance Robinson,Grand Valley State,#N/A
OL Trevonte Sylvester (from Houston),OL,ACC,Power 5,Louisville,Trevonte Sylvester,NC State,ACC
OL Willie Tyler (from Rutgers),OL,ACC,Power 5,Louisville,Willie Tyler,Clemson,ACC
OL Vincent Lumia (from Duquesne),OL,ACC,Power 5,Louisville,Vincent Lumia,West Virginia,Big 12
DL Stephon Herron (from Stanford),DL,ACC,Power 5,Louisville,Stephon Herron,Old Dominion,Sun Belt
DL Rodney McGraw (from Penn State),DL,ACC,Power 5,Louisville,Rodney McGraw,Old Dominion,Sun Belt
DL Jeffery Clark (from Georgia State),DL,ACC,Power 5,Louisville,Jeffery Clark,Clemson,ACC
LB Keith Brown (from Oregon),LB,ACC,Power 5,Louisville,Keith Brown,Clemson,ACC
CB Marcus Washington (from Georgia),CB,ACC,Power 5,Louisville,Marcus Washington,Army,#N/A
DB Gilbert Frierson (from Miami),DB,ACC,Power 5,Louisville,Gilbert Frierson,Old Dominion,Sun Belt
DB Cam'Ron Kelly (from North Carolina),DB,ACC,Power 5,Louisville,Cam'Ron Kelly,Bowling Green,MAC
CB Storm Duck (from North Carolina),CB,ACC,Power 5,Louisville,Storm Duck,University of Sioux Falls,#N/A
DB Jalil Martin (from Nebraska),DB,ACC,Power 5,Louisville,Jalil Martin,North Carolina,ACC
S Devin Neal (from Baylor),S ,ACC,Power 5,Louisville,evin Neal,Texas A&M-Commerce,#N/A
DB Marquis Groves-Killebrew (from Texas A&M),DB,ACC,Power 5,Louisville,Marquis Groves-Killebrew,Bowling Green,MAC
K Nick Lopez (from California),K ,ACC,Power 5,Louisville,Nick Lopez,Hillsdale College,#N/A
RB Ajay Allen (from Nebraska),RB,ACC,Power 5,Miami,Ajay Allen,NC State,ACC
WR Tyler Harrell (from Alabama),WR,ACC,Power 5,Miami,Tyler Harrell,NC State,ACC
TE Cam McCormick (from Oregon),TE,ACC,Power 5,Miami,Cam McCormick,West Virginia,Big 12
OL Javion Cohen (from Alabama),OL,ACC,Power 5,Miami,Javion Cohen,North Carolina,ACC
OL Luis Cristobal (from Georgia State),OL,ACC,Power 5,Miami,Luis Cristobal,West Virginia,Big 12
OL Matt Lee (from UCF),OL,ACC,Power 5,Miami,Matt Lee,NC State,ACC
DL Thomas Gore (from Georgia State),DL,ACC,Power 5,Miami,Thomas Gore,Georgia Tech,ACC
DL Branson Deen (from Purdue),DL,ACC,Power 5,Miami,Branson Deen,Clemson,ACC
DL Anthony Campbell (from ULM),DL,ACC,Power 5,Miami,Anthony Campbell,"Miami, Ohio",#N/A
LB Francisco Mauigoa (from Washington State),LB,ACC,Power 5,Miami,Francisco Mauigoa,Georgia Tech,ACC
LB Rocky Shelton (from Duke),LB,ACC,Power 5,Miami,Rocky Shelton,Eastern Michigan,MAC
LB K.J. Cloyd (from Louisville),LB,ACC,Power 5,Miami,K.J. Cloyd,Newberry,#N/A
CB Jaden Davis (from Oklahoma),CB,ACC,Power 5,Miami,Jaden Davis,Yale,#N/A
DB Davonte Brown (from UCF),DB,ACC,Power 5,Miami,Davonte Brown,Grand Valley State,#N/A
DB Jadais Richard (from Vanderbilt),DB,ACC,Power 5,Miami,Jadais Richard,North Carolina,ACC
LS Michael Donovan (from Michigan State),LS,ACC,Power 5,Miami,Michael Donovan,Georgia Tech,ACC
WR Devontez Walker (from Kent State) waiver to play was denied for 2023,WR,ACC,Power 5,North Carolina,Devontez Walker,North Carolina,ACC
WR Nate McCollum (from Georgia Tech),WR,ACC,Power 5,North Carolina,Nate McCollum,North Carolina,ACC
OL Willie Lampkin (from Coastal Carolina),OL,ACC,Power 5,North Carolina,Willie Lampkin,North Carolina,ACC
LB Amari Gainer (from Florida State),LB,ACC,Power 5,North Carolina,Amari Gainer,West Virginia,Big 12
DB Alijah Huzzie (from East Tennessee State),DB,ACC,Power 5,North Carolina,Alijah Huzzie,West Virginia,Big 12
CB Armani Chatman (from Virginia Tech),CB,ACC,Power 5,North Carolina,Armani Chatman,Eastern New Mexico,#N/A
S Derrik Allen (from Georgia Tech),S ,ACC,Power 5,North Carolina,errik Allen,Old Dominion,Sun Belt
S Antavious Lane (from Georgia State),S ,ACC,Power 5,North Carolina,ntavious Lane,Pittsburg State,#N/A
K Ryan Coe (from Cincinnati),K ,ACC,Power 5,North Carolina,Ryan Coe,Grambling,#N/A
QB Brennan Armstrong (from Virginia),QB,ACC,Power 5,NC State,Brennan Armstrong,LSU/Samford,#N/A
WR Bradley Rozner (from Rice),WR,ACC,Power 5,NC State,Bradley Rozner,West Virginia,Big 12
WR Dacari Collins (from Clemson),WR,ACC,Power 5,NC State,Dacari Collins,Georgia Tech,ACC
OL Dawson Jaramillo (from Oregon),OL,ACC,Power 5,NC State,Dawson Jaramillo,Nebraska-Kearney,#N/A
OL Yousef Mugharbil (from Colorado),OL,ACC,Power 5,NC State,Yousef Mugharbil,UIW/Washington State,#N/A
DL Noah Potter (from Cincinnati),DL,ACC,Power 5,NC State,Noah Potter,Clemson,ACC
DB Robert Kennedy III (from Old Dominion),DB,ACC,Power 5,NC State,Robert Kennedy III,Bethune-Cookman,#N/A
K Brayden Narveson (from Western Kentucky),K ,ACC,Power 5,NC State,Brayden Narveson,Grambling,#N/A
QB Phil Jurkovec (from Boston College),QB,ACC,Power 5,Pitt,Phil Jurkovec,Sioux Falls,#N/A
QB Christian Veilleux (from Penn State),QB,ACC,Power 5,Pitt,Christian Veilleux,Georgia Tech,ACC
WR Daejon Reynolds (from Florida),WR,ACC,Power 5,Pitt,Daejon Reynolds,St. Francis (Pa,#N/A
TE Malcolm Epps (from USC),TE,ACC,Power 5,Pitt,Malcolm Epps,St. Francis (Pa,#N/A
OL Jackson Brown (from California),OL,ACC,Power 5,Pitt,Jackson Brown,North Carolina,ACC
LB Todd Hill (from Duquesne),LB,ACC,Power 5,Pitt,Todd Hill,North Carolina,ACC
S Donovan McMillon (from Florida),S ,ACC,Power 5,Pitt,onovan McMillon,John Carroll,#N/A
DB/RB Derrick Davis (from LSU),DB,ACC,Power 5,Pitt,RB Derrick Davis,West Virginia,Big 12
P Jeff Yurk (from Elon),P ,ACC,Power 5,Pitt,eff Yurk,Georgia Tech,ACC
QB Braden Davis (from South Carolina),QB,ACC,Power 5,Syracuse,Braden Davis,Gardner-Webb,#N/A
OL Joe More (from Richmond),OL,ACC,Power 5,Syracuse,Joe More,NC State,ACC
OL David Wohlabaugh (from Kentucky),OL,ACC,Power 5,Syracuse,David Wohlabaugh,State,#N/A
DL Braylen Ingraham (from Alabama),DL,ACC,Power 5,Syracuse,Braylen Ingraham,"Miami, Ohio",#N/A
LB Khalib Gilmore (from West Florida),LB,ACC,Power 5,Syracuse,Khalib Gilmore,McNeese State,#N/A
DB Jayden Bellamy (from Notre Dame),DB,ACC,Power 5,Syracuse,Jayden Bellamy,Sioux Falls,#N/A
S Jaeden Gould (from Nebraska),S ,ACC,Power 5,Syracuse,aeden Gould,Prairie View,#N/A
DB Myles Farmer (from Nebraska),DB,ACC,Power 5,Syracuse,Myles Farmer,Lenoir-Rhyne,#N/A
P Jack Stonehouse (from Missouri),P ,ACC,Power 5,Syracuse,ack Stonehouse,North Carolina,ACC
LS Tom Callahan (from Fordham),LS,ACC,Power 5,Syracuse,Tom Callahan,Georgia Tech,ACC
QB Tony Muskett (from Monmouth),QB,ACC,Power 5,Virginia,Tony Muskett,Georgia Tech,ACC
RB Kobe Pace (from Clemson),RB,ACC,Power 5,Virginia,Kobe Pace,West Virginia,Big 12
WR Malik Washington (from Northwestern),WR,ACC,Power 5,Virginia,Malik Washington,Duke,ACC
OL Ugonna Nnanna (from Houston),OL,ACC,Power 5,Virginia,Ugonna Nnanna,West Alabama,#N/A
OL Jimmy Christ (from Penn State),OL,ACC,Power 5,Virginia,Jimmy Christ,Grambling,#N/A
OL Brian Stevens (from Dayton),OL,ACC,Power 5,Virginia,Brian Stevens,Sioux Falls,#N/A
DB Malcolm Greene (from Clemson),DB,ACC,Power 5,Virginia,Malcolm Greene,Angelo State,#N/A
DB Tayvonn Kyle (from Iowa State),DB,ACC,Power 5,Virginia,Tayvonn Kyle,Bethune-Cookman,#N/A
DB Sam Westfall (from SMU),DB,ACC,Power 5,Virginia,Sam Westfall,St. Francis Pa.,#N/A
QB Kyron Drones (from Baylor),QB,ACC,Power 5,Virginia Tech,Kyron Drones,Shepherd,#N/A
RB Bhayshul Tuten (from North Carolina A&T),RB,ACC,Power 5,Virginia Tech,Bhayshul Tuten,Northern Michigan,#N/A
WR Ali Jennings (from Old Dominion),WR,ACC,Power 5,Virginia Tech,Ali Jennings,West Florida,#N/A
WR Da'Quan Felton (from Norfolk State),WR,ACC,Power 5,Virginia Tech,Da'Quan Felton,Hobart,#N/A
WR Jaylin Lane (from Middle Tennessee),WR,ACC,Power 5,Virginia Tech,Jaylin Lane,American International College,#N/A
OL Clayton Frady (from Gardner-Webb),OL,ACC,Power 5,Virginia Tech,Clayton Frady,"Miami, Ohio",#N/A
DL Antwaun Powell-Ryland (from Florida),DL,ACC,Power 5,Virginia Tech,Antwaun Powell-Ryland,Old Dominion,Sun Belt
DB Derrick Canteen (from Georgia Southern),DB,ACC,Power 5,Virginia Tech,Derrick Canteen,Grand Valley State,#N/A
WR Walker Merrill (from Tennessee),WR,ACC,Power 5,Wake Forest,Walker Merrill,Duke,ACC
DL Bryce Ganious (from Villanova),DL,ACC,Power 5,Wake Forest,Bryce Ganious,Allegheny College,#N/A
DL Nick Helbig (from Wesleyan),DL,ACC,Power 5,Wake Forest,Nick Helbig,Notre Dame,Independents
LB Jacob Roberts (from North Carolina A&T),LB,ACC,Power 5,Wake Forest,Jacob Roberts,Tarleton State,#N/A
DB Demarcus Rankin (from Notre Dame College),DB,ACC,Power 5,Wake Forest,Demarcus Rankin,West Virginia,Big 12
QB Sawyer Robertson (from Mississippi State),QB,Big 12,Power 5,Baylor,Sawyer Robertson,Central Missouri,#N/A
QB RJ Martinez (from Northern Arizona),QB,Big 12,Power 5,Baylor,RJ Martinez,Tarleton State,#N/A
RB Dominic Richardson (from Oklahoma State),RB,Big 12,Power 5,Baylor,Dominic Richardson,West Virginia,Big 12
WR Ketron Jackson (from Arkansas),WR,Big 12,Power 5,Baylor,Ketron Jackson,#VALUE!,#VALUE!
TE Jake Roberts (from North Texas),TE,Big 12,Power 5,Baylor,Jake Roberts,Notre Dame College,#N/A
OL Clark Barrington (from BYU),OL,Big 12,Power 5,Baylor,Clark Barrington,Nebraska-Kearney,#N/A
OL Campbell Barrington (from BYU),OL,Big 12,Power 5,Baylor,Campbell Barrington,Youngstown State,#N/A
DL Byron Vaughns (from Utah State),DL,Big 12,Power 5,Baylor,Byron Vaughns,Old Dominion,Sun Belt
DL Treven Ma'ae (from Oregon),DL,Big 12,Power 5,Baylor,Treven Ma'ae,Lane College,#N/A
DL Justin Sambu (from Maine),DL,Big 12,Power 5,Baylor,Justin Sambu,Utah Tech,#N/A
LB Mike Smith (from Liberty),LB,Big 12,Power 5,Baylor,Mike Smith,Central Washington,#N/A
DB Isaiah Dunson (from Miami),DB,Big 12,Power 5,Baylor,Isaiah Dunson,Eastern Michigan,MAC
DB Ajani Carter (from Utah State),DB,Big 12,Power 5,Baylor,Ajani Carter,Old Dominion,Sun Belt
K Jack Stone (from Michigan State),K ,Big 12,Power 5,Baylor,Jack Stone,Cal Lutheran,#N/A
RB Arlen Harris (from Stanford),RB,Big 12,Power 5,Iowa State,Arlen Harris,rsity of Mary,#N/A
WR Jayden Higgins (from Eastern Kentucky),WR,Big 12,Power 5,Iowa State,Jayden Higgins,Utah Tech,#N/A
DL Tobechi Okoli (from Auburn),DL,Big 12,Power 5,Iowa State,Tobechi Okoli,Jackson State/Colorado,#N/A
LB Zach Lovett (from Missouri),LB,Big 12,Power 5,Iowa State,Zach Lovett,Utah Tech,#N/A
QB Mikey Pauley (from Nebraska),QB,Big 12,Power 5,Kansas,Mikey Pauley,Fort Lewis,#N/A
RB Dylan McDuffie (from Georgia Tech),RB,Big 12,Power 5,Kansas,Dylan McDuffie,Western Colorado,#N/A
TE Max Muehlberger (from Oklahoma State),TE,Big 12,Power 5,Kansas,Max Muehlberger,NC State,ACC
OL Logan Brown (from Wisconsin),OL,Big 12,Power 5,Kansas,Logan Brown,New Mexico Highlands,#N/A
OL Spencer Lovell (from California),OL,Big 12,Power 5,Kansas,Spencer Lovell,Bowling Green,MAC
DL Austin Booker (from Minnesota),DL,Big 12,Power 5,Kansas,Austin Booker,Fort Lewis College,#N/A
DL Gage Keys (from Minnesota),DL,Big 12,Power 5,Kansas,Gage Keys,Black Hills State,#N/A
DL Devin Phillips (from Colorado State),DL,Big 12,Power 5,Kansas,Devin Phillips,Cal Lutheran,#N/A
DL Patrick Joyner (from Utah State),DL,Big 12,Power 5,Kansas,Patrick Joyner,Navy,#N/A
LB JB Brown (from Bowling Green),LB,Big 12,Power 5,Kansas,JB Brown,St. Francis Pa.,#N/A
LB Dylan Brooks (from Auburn),LB,Big 12,Power 5,Kansas,Dylan Brooks,NC State,ACC
DB Damarius McGhee (from LSU),DB,Big 12,Power 5,Kansas,Damarius McGhee,Tennessee-Martin,#N/A
K Seth Keller (from Texas State),K ,Big 12,Power 5,Kansas,Seth Keller,North Carolina,ACC
K Charlie Weinrich (from Nebraska),K ,Big 12,Power 5,Kansas,Charlie Weinrich,West Florida,#N/A
QB Jacob Knuth (from Minnesota),QB,Big 12,Power 5,Kansas State,Jacob Knuth,Notre Dame College,#N/A
RB Treshaun Ward (from Florida State),RB,Big 12,Power 5,Kansas State,Treshaun Ward,East Central,#N/A
WR Keagan Johnson (from Iowa),WR,Big 12,Power 5,Kansas State,Keagan Johnson,Erskine,#N/A
DL Jevon Banks (from Mississippi State),DL,Big 12,Power 5,Kansas State,Jevon Banks,Tarleton State,#N/A
DB Marques Sigle (from North Dakota State),DB,Big 12,Power 5,Kansas State,Marques Sigle,Wingate,#N/A
DB Tyler Nelome (from SEMO),DB,Big 12,Power 5,Kansas State,Tyler Nelome,Old Dominion,Sun Belt
RB Emeka Megwa (from Washington),RB,Big 12,Power 5,Oklahoma,Emeka Megwa,Clemson,ACC
WR Andrel Anthony (from Michigan),WR,Big 12,Power 5,Oklahoma,Andrel Anthony,St. Francis (Pa.,#N/A
WR Brenen Thompson (from Texas),WR,Big 12,Power 5,Oklahoma,Brenen Thompson,Southwest Baptist University,#N/A
TE Austin Stogner (from South Carolina),TE,Big 12,Power 5,Oklahoma,Austin Stogner,McNeese State,#N/A
TE Blake Smith (from Texas A&M),TE,Big 12,Power 5,Oklahoma,Blake Smith,Washburn,#N/A
TE Hamp Fay (from Michigan State),TE,Big 12,Power 5,Oklahoma,Hamp Fay,Bowling Green,MAC
"OL Caleb Shaffer (from Miami, Ohio)",OL,Big 12,Power 5,Oklahoma,Caleb Shaffer,Grambling,#N/A
OL Troy Everett (from Appalachian State),OL,Big 12,Power 5,Oklahoma,Troy Everett,North Carolina,ACC
OL Walter Rouse (from Stanford),OL,Big 12,Power 5,Oklahoma,Walter Rouse,Duke,ACC
DL Jacob Lacey (from Notre Dame),DL,Big 12,Power 5,Oklahoma,Jacob Lacey,Clemson,ACC
DL Davon Sears (from Texas State),DL,Big 12,Power 5,Oklahoma,Davon Sears,North Carolina,ACC
DL Phillip Paea (from Utah State),DL,Big 12,Power 5,Oklahoma,Phillip Paea,Utah Tech,#N/A
DL Rondell Bothroyd (from Wake Forest),DL,Big 12,Power 5,Oklahoma,Rondell Bothroyd,Duke,ACC
DL Da'Jon Terry (from Tennessee),DL,Big 12,Power 5,Oklahoma,Da'Jon Terry,West Virginia,Big 12
DL Trace Ford (from Oklahoma State),DL,Big 12,Power 5,Oklahoma,Trace Ford,West Virginia,Big 12
LB Konnor Near (from Ferris State),LB,Big 12,Power 5,Oklahoma,Konnor Near,West Virginia,Big 12
LB Dasan McCullough (from Indiana),LB,Big 12,Power 5,Oklahoma,Dasan McCullough,Birmingham-Southern,#N/A
DB Reggie Pearson (from Texas Tech),DB,Big 12,Power 5,Oklahoma,Reggie Pearson,East Central,#N/A
P Luke Elzinga (from Central Michigan),P ,Big 12,Power 5,Oklahoma,uke Elzinga,Bowling Green,MAC
P Ashton Logan (from Colorado),P ,Big 12,Power 5,Oklahoma,shton Logan,East Central,#N/A
QB Alan Bowman (from Michigan),QB,Big 12,Power 5,Oklahoma State,Alan Bowman,Eastern Michigan,MAC
RB Elijah Collins (from Michigan State),RB,Big 12,Power 5,Oklahoma State,Elijah Collins,West Virginia,Big 12
WR De'Zhaun Stribling (from Washington State),WR,Big 12,Power 5,Oklahoma State,De'Zhaun Stribling,West Virginia,Big 12
WR Arland Bruce IV (from Iowa),WR,Big 12,Power 5,Oklahoma State,Arland Bruce IV,Georgia Tech,ACC
WR Leon Johnson III (from George Fox),WR,Big 12,Power 5,Oklahoma State,Leon Johnson III,North Carolina,ACC
TE Josiah Johnson (from UMass),TE,Big 12,Power 5,Oklahoma State,Josiah Johnson,Virginia Tech - opted to retire,#N/A
TE Ian Edenfield (from California University of Pennsylvania),TE,Big 12,Power 5,Oklahoma State,Ian Edenfield,West Virginia,Big 12
OL Dalton Cooper (from Texas State),OL,Big 12,Power 5,Oklahoma State,Dalton Cooper,Georgia Tech,ACC
OL Noah McKinney (from UNLV),OL,Big 12,Power 5,Oklahoma State,Noah McKinney,Duke,ACC
DL Anthony Goodlow (from Tulsa),DL,Big 12,Power 5,Oklahoma State,Anthony Goodlow,Saginaw Valley State,#N/A
DL Justin Kirkland (from Utah Tech),DL,Big 12,Power 5,Oklahoma State,Justin Kirkland,Utah Tech,#N/A
LB Justin Wright (from Tulsa),LB,Big 12,Power 5,Oklahoma State,Justin Wright,Tulsa,American Athletic Conference
CB Kenneth Harris (from Arkansas State),CB,Big 12,Power 5,Oklahoma State,Kenneth Harris,Arkansas State,Sun Belt
RB Trey Sanders (from Alabama),RB,Big 12,Power 5,TCU,Trey Sanders,Alabama,SEC
WR JoJo Earle (from Alabama),WR,Big 12,Power 5,TCU,JoJo Earle,Alabama,SEC
WR John Paul Richardson (from Oklahoma State),WR,Big 12,Power 5,TCU,John Paul Richardson,Oklahoma State,Big 12
WR Jack Bech (from LSU),WR,Big 12,Power 5,TCU,Jack Bech,LSU,SEC
WR Warren Thompson (from Arkansas),WR,Big 12,Power 5,TCU,Warren Thompson,Arkansas,SEC
WR Dylan Wright (from Minnesota),WR,Big 12,Power 5,TCU,Dylan Wright,Minnesota,Big Ten
WR Jaylon Robinson (from Ole Miss),WR,Big 12,Power 5,TCU,Jaylon Robinson,Ole Miss,SEC
OL Willis Patrick (from Jackson State),OL,Big 12,Power 5,TCU,Willis Patrick,Jackson State,SWAC
OL Coltin Deery (from Maryland),OL,Big 12,Power 5,TCU,Coltin Deery,Maryland,Big Ten
OL Tommy Brockermeyer (from Alabama),OL,Big 12,Power 5,TCU,Tommy Brockermeyer,Alabama,SEC
DL Tico Brown (from Missouri State),DL,Big 12,Power 5,TCU,Tico Brown,Missouri State,Missouri Valley
DL Rick D'Abreu (from East Carolina),DL,Big 12,Power 5,TCU,Rick D'Abreu,East Carolina,American Athletic Conference
CB Avery Helm (from Florida),CB,Big 12,Power 5,TCU,Avery Helm,Florida,SEC
WR AD Mitchell (from Georgia),WR,Big 12,Power 5,Texas,AD Mitchell,Georgia,SEC
DL Trill Carter (from Minnesota),DL,Big 12,Power 5,Texas,Trill Carter,Minnesota,Big Ten
DB Gavin Holmes (from Wake Forest),DB,Big 12,Power 5,Texas,Gavin Holmes,Wake Forest,ACC
S Jalen Catalon (from Arkansas),S ,Big 12,Power 5,Texas,alen Catalon,Arkansas,SEC
P Ryan Sanborn (from Stanford),P ,Big 12,Power 5,Texas,yan Sanborn,Stanford,Pac-12
WR Drae McCray (from Austin Peay),WR,Big 12,Power 5,Texas Tech,Drae McCray,Austin Peay,UAC
OL Rusty Staats (from Western Kentucky),OL,Big 12,Power 5,Texas Tech,Rusty Staats,Western Kentucky,Conference USA
DL Quincy Ledet (from ULM),DL,Big 12,Power 5,Texas Tech,Quincy Ledet,ULM,Sun Belt
DL/LB Steve Linton (from Syracuse),DL,Big 12,Power 5,Texas Tech,LB Steve Linton,Syracuse,ACC
LB/TE Terrell Tilmon (from Oregon),LB,Big 12,Power 5,Texas Tech,TE Terrell Tilmon,Oregon,Pac-12
DB Bralyn Lux (from Fresno State),DB,Big 12,Power 5,Texas Tech,Bralyn Lux,Fresno State,Mountain West
DB AJ McCarty (from Baylor),DB,Big 12,Power 5,Texas Tech,AJ McCarty,Baylor,Big 12
S C.J. Baskerville (from San Diego State),S ,Big 12,Power 5,Texas Tech,.J. Baskerville,San Diego State,Mountain West
